transaction_id,date,year_month,product_id,customer_id,category,brand_tier,channel,customer_segment,base_cost,listed_price,competitor_price,discount_pct,units_sold,revenue,gross_profit,margin_pct,price_gap_pct,baseline_elasticity,pricing_signal
T000001,2025-04-17,2025-04,P063,C02484,Beauty,Core,Mobile App,Loyal,2455.15,3628.33,4187.62,15.7,193,700267.69,226423.74,32.33,-13.36,-2.588,Maintain
T000002,2025-04-03,2025-04,P057,C00088,Home & Kitchen,Premium,Online,New,2099.16,3067.51,3845.44,15.9,227,696324.77,219815.45,31.57,-20.23,-2.293,Maintain
T000003,2025-04-01,2025-04,P008,C01086,Sports,Core,Mobile App,Loyal,864.23,1057.69,1131.63,10.2,323,341633.87,62487.58,18.29,-6.53,-1.157,Maintain
T000004,2025-12-02,2025-12,P072,C02641,Home & Kitchen,Core,Mobile App,New,1274.12,1527.73,1818.03,9.9,145,221520.85,36773.45,16.6,-15.97,-0.94,Maintain
T000005,2025-07-23,2025-07,P053,C00066,Sports,Premium,Online,Price Sensitive,1337.85,1749.32,2155.34,11.9,56,97961.92,23042.32,23.52,-18.84,-2.406,Maintain
T000006,2025-06-15,2025-06,P048,C02228,Home & Kitchen,Core,Online,Loyal,3685.07,6403.85,7508.71,5.6,41,262557.85,111469.98,42.46,-14.71,-0.801,Increase
T000007,2025-12-20,2025-12,P014,C02717,Fashion,Value,Online,New,1724.2,2017.01,2760.15,17.5,218,439708.18,63832.58,14.52,-26.92,-1.924,Maintain
T000008,2025-08-09,2025-08,P061,C00969,Sports,Core,Online,Returning,4035.87,7650.99,7729.06,4.8,151,1155299.49,545883.12,47.25,-1.01,-1.189,Maintain
T000009,2025-11-28,2025-11,P070,C00730,Home & Kitchen,Value,Online,Returning,1365.46,1881.25,2193.07,11.0,263,494768.75,135652.77,27.42,-14.22,-0.878,Increase
T000010,2025-12-26,2025-12,P013,C02208,Sports,Core,Online,Price Sensitive,2719.51,4770.13,5567.44,3.8,60,286207.8,123037.2,42.99,-14.32,-1.817,Maintain
T000011,2025-01-29,2025-01,P077,C03234,Home & Kitchen,Core,Online,Returning,2797.38,3411.81,4499.45,14.6,235,801775.35,144391.05,18.01,-24.17,-2.331,Maintain
T000012,2025-05-12,2025-05,P021,C00058,Sports,Value,Mobile App,Returning,2318.3,3871.65,4735.61,7.3,260,1006629.0,403871.0,40.12,-18.24,-1.411,Maintain
T000013,2025-09-25,2025-09,P018,C01521,Electronics,Value,Mobile App,Returning,2299.79,2989.72,3786.95,22.5,275,822173.0,189730.75,23.08,-21.05,-1.659,Maintain
T000014,2025-10-24,2025-10,P049,C04498,Sports,Core,Online,Loyal,1597.84,2829.19,3121.05,7.1,79,223506.01,97276.65,43.52,-9.35,-2.371,Maintain
T000015,2025-02-24,2025-02,P047,C01511,Home & Kitchen,Value,Online,New,3776.61,5940.39,6565.7,14.6,113,671264.07,244507.14,36.42,-9.52,-1.99,Maintain
T000016,2025-04-27,2025-04,P110,C01495,Fashion,Value,Mobile App,Price Sensitive,700.06,874.54,922.29,3.6,33,28859.82,5757.84,19.95,-5.18,-1.507,Maintain
T000017,2025-07-20,2025-07,P009,C03320,Electronics,Core,Online,Loyal,689.46,1110.56,1231.15,5.8,267,296519.52,112433.7,37.92,-9.79,-1.883,Maintain
T000018,2025-10-19,2025-10,P042,C02161,Fashion,Value,Online,Price Sensitive,4143.05,5631.58,6650.31,7.7,41,230894.78,61029.73,26.43,-15.32,-0.625,Increase
